game_id,play_no,wp
401227931,21,0.618
401227931,22,0.666
401227931,23,0.713
401227931,24,0.677
401227931,25,0.707
401227931,26,0.662
401227931,27,0.68
401227931,28,0.608
401227931,29,0.625
401227931,30,0.63
401227931,31,0.632
401227931,32,0.61
401227931,33,0.771
401227931,34,0.795
401227931,35,0.85
401227931,36,0.801
401227931,37,0.761
401227931,38,0.757
401227931,39,0.765
401227931,40,0.735
401227931,41,0.765
401227931,42,0.746
401227931,43,0.734
401227931,44,0.846
401227931,45,0.858
401227931,46,0.856
401227931,47,0.85
401227931,48,0.882
401227931,49,0.901
401227931,50,0.887
401227931,51,0.912
401227931,52,0.903
401227931,53,0.915
401227931,54,0.9
401227931,55,0.889
401227931,56,0.83
401227931,57,0.851
401227931,58,0.901
401227931,59,0.936
401227931,60,0.929
401227931,61,0.924
401227931,62,0.92
401227931,63,0.844
401227931,64,0.916
401227931,65,0.963
401227931,66,1.0
401227219,0,0.455
401227219,1,0.49
401227219,2,0.525
401227219,3,0.549
401227219,4,0.527
401227219,5,0.557
401227219,6,0.535
401227219,7,0.545
401227219,8,0.566
401227219,9,0.498
401227219,10,0.521
401227219,11,0.537
401227219,12,0.547
401227219,13,0.583
401227219,14,0.552
401227219,15,0.526
401227219,16,0.507
401227219,17,0.465
401227219,18,0.496
401227219,19,0.506
401227219,20,0.39
401227219,21,0.475
401227219,22,0.559
401227219,23,0.536
401227219,24,0.658
401227219,25,0.642
401227219,26,0.633
401227219,27,0.661
401227219,28,0.681
401227219,29,0.693
401227219,30,0.722
401227219,31,0.741
401227219,32,0.773
401227219,33,0.77
401227219,34,0.796
401227219,35,0.811
401227219,36,0.82
401227219,37,0.806
401227219,38,0.835
401227219,39,0.811
401227219,40,0.814
401227219,41,0.787
401227219,42,0.818
401227219,43,0.781
401227219,44,0.641
401227219,45,0.614
401227219,46,0.678
401227219,47,0.752
401227219,48,0.732
401227219,49,0.718
401227219,50,0.711
401227219,51,0.752
401227219,52,0.776
401227219,53,0.793
401227219,54,0.776
401227219,55,0.805
401227219,56,0.775
401227219,57,0.887
401227219,58,0.969
401227219,59,0.97
401227219,60,0.967
401227219,61,0.98
401227219,62,0.963
401227219,63,0.944
401227219,64,0.972
401227219,65,0.99
401227219,66,0.992
401227219,67,0.99
401227219,68,0.99
401227219,69,0.995
401227219,70,0.995
401227219,71,0.987
401227219,72,0.995
401227219,73,0.999
401227219,74,1.0
401229408,0,0.586
401229408,1,0.434
401229408,2,0.456
401229408,3,0.473
401229408,4,0.462
401229408,5,0.482
401229408,6,0.453
401229408,7,0.43
401229408,8,0.441
401229408,9,0.41
401229408,10,0.428
401229408,11,0.441
401229408,12,0.428
401229408,13,0.396
401229408,14,0.444
401229408,15,0.481
401229408,16,0.439
401229408,17,0.402
401229408,18,0.374
401229408,19,0.397
401229408,20,0.414
401229408,21,0.403
401229408,22,0.425
401229408,23,0.396
401229408,24,0.37
401229408,25,0.354
401229408,26,0.373
401229408,27,0.387
401229408,28,0.391
401229408,29,0.351
401229408,30,0.319
401229408,31,0.299
401229408,32,0.32
401229408,33,0.335
401229408,34,0.345
401229408,35,0.304
401229408,36,0.274
401229408,37,0.254
401229408,38,0.275
401229408,39,0.289
401229408,40,0.298
401229408,41,0.259
401229408,42,0.225
401229408,43,0.369
401229408,44,0.388
401229408,45,0.332
401229408,46,0.358
401229408,47,0.33
401229408,48,0.386
401229408,49,0.335
401229408,50,0.383
401229408,51,0.318
401229408,52,0.271
401229408,53,0.298
401229408,54,0.318
401229408,55,0.308
401229408,56,0.339
401229408,57,0.283
401229408,58,0.595
401229408,59,0.556
401229408,60,0.523
401229408,61,0.584
401229408,62,0.212
401229408,63,0.176
401229408,64,0.206
401229408,65,0.238
401229408,66,0.353
401229408,67,0.497
401229408,68,0.53
401229408,69,0.822
401229408,70,0.506
401229408,71,1.0
401228939,0,0.673
401228939,1,0.684
401228939,2,0.688
401228939,3,0.724
401228939,4,0.695
401228939,5,0.677
401228939,6,0.644
401228939,7,0.665
401228939,8,0.636
401228939,9,0.599
401228939,10,0.528
401228939,11,0.441
401228939,12,0.288
401228939,13,0.356
401228939,14,0.409
401228939,15,0.383
401228939,16,0.366
401228939,17,0.378
401228939,18,0.252
401228939,19,0.171
401228939,20,0.178
401228939,21,0.182
401228939,22,0.177
401228939,23,0.185
401228939,24,0.164
401228939,25,0.16
401228939,26,0.171
401228939,27,0.153
401228939,28,0.153
401228939,29,0.156
401228939,30,0.155
401228939,31,0.209
401228939,32,0.167
401228939,33,0.133
401228939,34,0.108
401228939,35,0.115
401228939,36,0.106
401228939,37,0.095
401228939,38,0.119
401228939,39,0.151
401228939,40,0.114
401228939,41,0.105
401228939,42,0.091
401228939,43,0.094
401228939,44,0.096
401228939,45,0.092
401228939,46,0.073
401228939,47,0.059
401228939,48,0.052
401228939,49,0.056
401228939,50,0.059
401228939,51,0.062
401228939,52,0.09
401228939,53,0.062
401228939,54,0.03
401228939,55,0.026
401228939,56,0.03
401228939,57,0.034
401228939,58,0.031
401228939,59,0.037
401228939,60,0.07
401228939,61,0.158
401228939,62,0.105
401228939,63,0.067
401228939,64,0.089
401228939,65,0.27
401228939,66,0.157
401228939,67,0.1
401228939,68,0.127
401228939,69,0.145
401228939,70,0.142
401228939,71,0.175
401228939,72,0.091
401228939,73,0.032
401228939,74,0.0
401228269,0,0.506
401228269,1,0.476
401228269,2,0.513
401228269,3,0.54
401228269,4,0.602
401228269,5,0.561
401228269,6,0.52
401228269,7,0.482
401228269,8,0.506
401228269,9,0.436
401228269,10,0.375
401228269,11,0.393
401228269,12,0.36
401228269,13,0.41
401228269,14,0.446
401228269,15,0.631
401228269,16,0.659
401228269,17,0.625
401228269,18,0.626
401228269,19,0.64
401228269,20,0.597
401228269,21,0.482
401228269,22,0.512
401228269,23,0.467
401228269,24,0.509
401228269,25,0.546
401228269,26,0.516
401228269,27,0.494
401228269,28,0.48
401228269,29,0.505
401228269,30,0.524
401228269,31,0.521
401228269,32,0.56
